Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Ecuador,Medium,,,4560,100%,92%,69%,95%,20%,3%,2%,78%,17%,10%,,,93%,3%,3%,1%,725388,3307639569,0,0
,Egypt,Informal,,,3973314,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,1005,3991270002,2093,8317153983
,Egypt,Micro,,,2044246,,,,,,,,,,,,,,,,,2619,5353147098,1728,3531693590
,Egypt,Very Small,,,360749,,,,,,,,,,,,,,,,,2690,970363279,2472,891617020
,Egypt,Small,,,42538,58%,4%,8%,10%,41%,38%,52%,7%,3%,,41.56,100%,,,,,9312,396096293,10493,446370818
,Egypt,Medium,,,3163,86%,12%,16%,24%,25%,44%,31%,11%,13%,28%,56.68,100%,,,,,72001,227738668,41802,132218702
,El Salvador,Informal,,,455936,38%,13%,14%,14%,,47%,40%,10%,4%,,,,,,,,2463,1122962179,1403,639537056
,El Salvador,Micro,,,146218,,,,,,,,,,,,,,,,,2584,377895555,136,19870620
,El Salvador,Very Small,,,25803,76%,30%,32%,48%,31%,25%,27%,41%,7%,21%,,,80%,0%,20%,0%,13772,355357471,2690,69416783
,El Salvador,Small,,,6290,95%,47%,60%,76%,35%,9%,14%,63%,14%,14%,,,86%,11%,1%,2%,54156,340641947,2424,15243992
,El Salvador,Medium,,,774,97%,65%,71%,85%,25%,9%,6%,68%,16%,16%,,,96%,4%,0%,0%,402115,311237286,10774,8339033
,Equatorial Guinea,Informal,,,20234,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,11739,237529329,5164,104485256
,Equatorial Guinea,Micro,,,5606,,,,,,,,,,,,,,,,,32153,180242599,5565,31194691
,Equatorial Guinea,Very Small,,,623,,,,,,,,,,,,,,,,,58988,36742114,5065,3154934
,Equatorial Guinea,Small,,,1841,,,,,,,,,,,,,,,,,191005,351676392,10218,18813027
,Equatorial Guinea,Medium,,,503,,,,,,,,,,,,,,,,,752337,378467687,21788,10960707
,Eritrea,Informal,,,161869,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1293,209366827,569,92097033
,Eritrea,Micro,,,44847,,,,,,,,,,,,,,,,,2846,127626157,493,22088333
,Eritrea,Very Small,,,4983,95%,27%,11%,35%,0%,62%,4%,15%,20%,21%,,,0%,67%,0%,33%,7557,37655161,649,3233335
,Eritrea,Small,,,14730,99%,38%,20%,40%,1%,48%,11%,13%,27%,9%,,,0%,100%,0%,0%,9061,133466870,485,7139847
,Eritrea,Medium,,,4024,100%,58%,15%,60%,5%,25%,15%,5%,55%,,,,0%,67%,0%,33%,33466,134681465,969,3900476
,Estonia,Informal,,,27699,49%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8396,232554903,7630,211351106
,Estonia,Very Small,,,8098,97%,38%,51%,60%,13%,25%,15%,18%,42%,8%,,20%,86%,0%,7%,7%,26411,213889727,1543,12499618
,Estonia,Small,,,6223,99%,38%,55%,65%,7%,25%,10%,23%,42%,13%,,7%,91%,5%,3%,1%,37363,232510874,2060,12822249
,Estonia,Medium,,,1223,98%,70%,66%,87%,6%,10%,3%,26%,61%,9%,,14%,95%,3%,0%,2%,242559,296649210,37269,45580298
,Ethiopia,Informal,,,1406532,43%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,786,1105926407,318,447009413
,Ethiopia,Micro,,,701767,82%,13%,31%,36%,40%,30%,34%,23%,14%,,22.55,22%,67%,20%,5%,8%,1259,883704505,165,115523894
,Ethiopia,Very Small,,,77974,94%,24%,42%,48%,44%,31%,21%,37%,11%,,26.46,33%,54%,29%,2%,15%,3124,243556363,175,13607785
,Ethiopia,Small,,,104800,97%,46%,51%,57%,39%,24%,18%,45%,12%,,22.52,9%,65%,33%,2%,0%,10815,1133371671,305,32006563
,Ethiopia,Medium,,,28000,96%,66%,60%,80%,50%,10%,10%,60%,20%,,27.54,19%,61%,36%,0%,2%,73840,2067511065,4897,137113790
,Fiji,Informal,,,65773,50%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5030,330826956,17342,1140630054
,Fiji,Micro,,,7435,,,,,,,,,,,,,,,,,11023,81958878,,
,Fiji,Very Small,,,3187,100%,42%,18%,43%,3%,52%,5%,23%,20%,19%,,,100%,0%,0%,0%,6832,21772541,0,0
,Fiji,Small,,,974,91%,64%,47%,71%,9%,24%,5%,52%,19%,21%,,,100%,0%,0%,0%,37035,36060684,32464,31609634
,Fiji,Medium,,,30,91%,63%,52%,73%,6%,27%,0%,37%,36%,17%,,,84%,5%,11%,0%,26977,807322,33343,997827
,Finland,Informal,,,101260,,,,,,,,,,,,,,,,,,,,
,Finland,Micro,,,138809,,,,,,,,,,,,,,,,,,,,
,Finland,Very Small,,,59489,,,,,,,,,,,,,,,,,,,,
,Finland,Small,,,12551,,,,,,,,,,,,,,,,,,,,
,Finland,Medium,,,2316,,,,,,,,,,,,,,,,,,,,
,France,Informal,,,455220,,,,,,,,,,,,,,,,,,,,
,France,Micro,,,1671839,,,,,,,,,,,,,,,,,,,,
,France,Very Small,,,716502,,,,,,,,,,,,,,,,,,,,
,France,Small,,,152404,,,,,,,,,,,,,,,,,,,,
,France,Medium,,,23184,,,,,,,,,,,,,,,,,,,,
,Gabon,Informal,,,47212,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,2955,139491141,1300,61359865
,Gabon,Micro,,,13080,,,,,,,,,,,,,,,,,6552,85708293,1134,14833584
,Gabon,Very Small,,,1453,77%,2%,5%,6%,33%,43%,51%,5%,2%,,36,60%,,,,,17183,24973659,1475,2144413
,Gabon,Small,,,4296,90%,18%,11%,23%,21%,42%,36%,19%,4%,,7.5,14%,,,,,121887,523641294,6520,28012337
,Gabon,Medium,,,1174,95%,53%,21%,57%,15%,24%,19%,36%,21%,,4.5,14%,,,,,884881,1038670837,25627,30080682
,Gambia,Informal,,,53956,32%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,253,13629498,122,6601755
,Gambia,Micro,,,14949,,,,,,,,,,,,,,,,,789,11790492,132,1976809
,Gambia,Very Small,,,1661,61%,15%,10%,19%,47%,29%,52%,11%,8%,26%,5.43,14%,100%,0%,0%,0%,950,1578162,218,362408
,Gambia,Small,,,4910,79%,42%,18%,42%,34%,20%,38%,27%,15%,13%,9.39,40%,93%,7%,0%,0%,4056,19912937,523,2567818
,Gambia,Medium,,,1341,,,,,,,,,,,,,,,,,33300,44670954,977,1310843
,Georgia,Informal,,,113532,41%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3062,347647323,3224,365996146
,Georgia,Micro,,,8569,,,,,,,,,,,,,,,,,6778,58081912,3862,33093518
,Georgia,Very Small,,,2142,80%,15%,27%,35%,45%,35%,30%,24%,11%,16%,,18%,91%,9%,0%,0%,9787,20967041,3035,6502521
,Georgia,Small,,,8258,91%,31%,41%,53%,36%,30%,17%,37%,16%,19%,,12%,94%,6%,0%,0%,26979,222804554,5689,46981589
,Georgia,Medium,,,1300,96%,51%,49%,63%,28%,22%,15%,36%,27%,11%,,18%,95%,5%,0%,0%,174259,226508200,18999,24696209
,Germany,Informal,,,1770450,,,,,,,,,,,,,,,,,,,,
,Germany,Micro,,,1044391,,,,,,,,,,,,,,,,,,,,
,Germany,Very Small,,,447596,,,,,,,,,,,,,,,,,,,,
,Germany,Small,,,256150,,,,,,,,,,,,,,,,,,,,
,Germany,Medium,,,43649,,,,,,,,,,,,,,,,,,,,
,Ghana,Informal,,,1255310,40%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1240,1556691132,535,671285672
,Ghana,Micro,,,111249,,,,,,,,,,,,,,,,,3396,377849405,588,65394615
,Ghana,Very Small,,,12361,79%,9%,10%,14%,75%,14%,72%,12%,3%,20%,14.6,51%,50%,17%,33%,0%,6942,85816204,621,7682153
,Ghana,Small,,,93990,87%,18%,23%,29%,60%,15%,56%,26%,3%,12%,17.2,33%,59%,33%,6%,2%,20988,1972625891,1198,112559241
,Ghana,Medium,,,6400,88%,30%,42%,48%,55%,12%,39%,39%,9%,16%,23.82,12%,57%,43%,0%,0%,129527,828971609,8471,54212399
,Greece,Informal,,,236507,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,23226,5493185924,24115,5703451940
,Greece,Micro,,,641378,,,,,,,,,,,,,,,,,47958,30759097518,29292,18787532731
,Greece,Very Small,,,160345,,,,,,,,,,,,,,,,,62907,10086850589,13967,2239508926
,Greece,Small,,,24560,,,,,,,,,,,,,,,,,247641,6082055781,44117,1083519796
,Greece,Medium,,,2947,,,,,,,,,,,,,,,,,1566745,4617198588,260684,768235947
,Grenada,Informal,,,6532,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,7139,46630328,4212,27511463
,Grenada,Micro,,,2134,,,,,,,,,,,,,,,,,19559,41733464,1035,2208676
,Grenada,Very Small,,,377,,,,,,,,,,,,,,,,,20244,7622707,4898,1844306
,Grenada,Small,,,193,,,,,,,,,,,,,,,,,73620,14226744,7438,1437423
,Grenada,Medium,,,34,,,,,,,,,,,,,,,,,491152,16838843,51332,1759900
,Guatemala,Informal,,,886090,8%,7%,7%,7%,21%,59%,34%,2%,5%,,,,57%,0%,24%,18%,1258,1114484779,1355,1200211345
,Guatemala,Micro,,,114720,,,,,,,,,,,,,,,,,2742,314527807,144,16538598
,Guatemala,Very Small,,,20245,48%,28%,27%,45%,24%,25%,30%,36%,9%,14%,,,61%,9%,31%,0%,7369,149179546,3285,66510616
,Guatemala,Small,,,29008,58%,46%,38%,62%,19%,21%,16%,46%,17%,18%,,,83%,3%,13%,1%,33454,970437322,13650,395952377
,Guatemala,Medium,,,9727,61%,67%,63%,85%,15%,9%,5%,65%,20%,11%,,,96%,1%,2%,1%,309971,3015130131,127667,1241834720
,Guinea,Informal,,,492611,24%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,374,184157532,201,99259099
,Guinea,Micro,,,89694,,,,,,,,,,,,,,,,,1131,101423779,196,17553472
,Guinea,Very Small,,,9966,50%,4%,2%,4%,63%,12%,84%,4%,0%,16%,10,69%,0%,0%,100%,0%,2123,21157424,398,3969591
,Guinea,Small,,,29459,55%,14%,9%,16%,57%,7%,77%,14%,1%,22%,11,48%,60%,0%,40%,0%,3518,103649577,590,17379668
,Guinea,Medium,,,8049,,,,,,,,,,,,,,,,,62426,502462203,1820,14647472
,Guinea-Bissau,Informal,,,50584,25%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,504,25484323,271,13707180
,Guinea-Bissau,Micro,,,14015,,,,,,,,,,,,,,,,,1524,21356730,264,3696222
,Guinea-Bissau,Very Small,,,1557,50%,0%,1%,1%,71%,6%,93%,1%,0%,8%,24,100%,0%,0%,100%,0%,3135,4882345,537,835832
,Guinea-Bissau,Small,,,4603,77%,4%,9%,11%,84%,4%,84%,9%,2%,13%,30,100%,75%,0%,25%,0%,6620,30470991,546,2512083
,Guinea-Bissau,Medium,,,1258,,,,,,,,,,,,,,,,,24032,30223514,696,875296
,Guyana,Informal,,,52257,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,2977,155575154,1756,91787905
,Guyana,Micro,,,17153,,,,,,,,,,,,,,,,,8157,139915717,432,7404812
,Guyana,Very Small,,,3027,,,,,,,,,,,,,,,,,8443,25555907,2043,6183226
,Guyana,Small,,,1546,,,,,,,,,,,,,,,,,30703,47465417,3102,4795748
,Guyana,Medium,,,274,,,,,,,,,,,,,,,,,204832,56180294,21408,5871646
,Haiti,Informal,,,633613,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,2232,1414299682,1317,834423762
,Haiti,Micro,,,206969,,,,,,,,,,,,,,,,,6116,1265777608,324,66989223
,Haiti,Very Small,,,36524,,,,,,,,,,,,,,,,,6330,231197003,1532,55937886
,Haiti,Small,,,18745,,,,,,,,,,,,,,,,,23019,431497722,2326,43597095
,Haiti,Medium,,,3326,,,,,,,,,,,,,,,,,153574,510722762,16051,53377851
,Honduras,Informal,,,486304,35%,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,2082,1012263096,1245,605350787
,Honduras,Micro,,,178986,68%,15%,38%,42%,15%,25%,33%,27%,15%,20%,,,92%,8%,0%,0%,1726,308913722,526,94063108
,Honduras,Very Small,,,31586,73%,23%,24%,36%,34%,28%,35%,27%,9%,16%,,,88%,0%,4%,9%,12047,380509202,2784,87939589
,Honduras,Small,,,28059,88%,55%,56%,71%,22%,15%,14%,55%,16%,22%,,,96%,1%,3%,0%,46866,1315020798,5391,151278195
,Honduras,Medium,,,18792,84%,76%,71%,89%,15%,6%,5%,68%,21%,16%,,,96%,0%,2%,2%,219588,4126459998,39263,737824267
,Hong Kong,Informal,,,567294,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,24731,14030035139,120602,68416843151
,Hong Kong,Micro,,,150741,,,,,,,,,,,,,,,,,60913,9182076482,,
,Hong Kong,Very Small,,,64603,,,,,,,,,,,,,,,,,114423,7392097668,274119,17708940911
,Hong Kong,Small,,,8398,,,,,,,,,,,,,,,,,281152,2361121360,235710,1979498930
,Hong Kong,Medium,,,258,,,,,,,,,,,,,,,,,1817485,469115738,829473,214097363
,Hungary,Informal,,,213069,49%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,14082,3000544377,12798,2726961947
,Hungary,Micro,,,413752,,,,,,,,,,,,,,,,,10344,4279763173,6130,2536096296
,Hungary,Very Small,,,103438,97%,50%,47%,61%,20%,37%,3%,49%,12%,15%,,24%,89%,11%,0%,0%,42515,4397621607,3149,325756570
,Hungary,Small,,,26172,98%,50%,43%,63%,12%,30%,7%,29%,34%,9%,,3%,80%,16%,2%,2%,80667,2111227022,3553,92987554
,Hungary,Medium,,,4810,99%,49%,47%,62%,5%,36%,2%,26%,36%,10%,,5%,90%,10%,0%,0%,304581,1465034271,17609,84698504
,Iceland,Very Small,,,7075,,,,,,,,,,,,,,,,,,,,
,Iceland,Small,,,1661,,,,,,,,,,,,,,,,,,,,
,Iceland,Medium,,,307,,,,,,,,,,,,,,,,,,,,
,India,Informal,,,48081600,45%,6%,8%,13%,23%,48%,42%,5%,4%,17%,38.13,37%,,,,,2744,131944710235,5263,253044414726
,India,Micro,,,1106761,76%,28%,13%,33%,15%,51%,16%,21%,13%,16%,39.02,22%,,,,,4467,4943374573,6248,6915321210
,India,Very Small,,,368920,91%,30%,23%,31%,16%,55%,14%,14%,17%,15%,45.73,11%,,,,,4358,1607621005,2605,960982771
,India,Small,,,73581,92%,38%,35%,38%,14%,47%,15%,19%,19%,11%,46.13,5%,,,,,17629,1297172041,8033,591087520
,India,Medium,,,3230,100%,46%,44%,46%,12%,35%,19%,26%,20%,11%,44.81,0%,,,,,151432,489126489,1458,4709593
,Indonesia,Informal,,,22991157,22%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,304,6996788169,553,12710428797
,Indonesia,Micro,,,12548685,,,,,,,,,,,,,,,,,699,8766446895,,
,Indonesia,Very Small,,,5378008,46%,4%,15%,16%,15%,23%,61%,10%,5%,19%,,,34%,46%,19%,2%,1610,8657227384,1444,7768466575
,Indonesia,Small,,,183950,82%,11%,28%,33%,14%,27%,41%,22%,11%,15%,,,51%,48%,1%,0%,10525,1936002908,3880,713743178
,Indonesia,Medium,,,14023,90%,25%,36%,45%,7%,26%,30%,29%,16%,14%,,,58%,37%,4%,1%,84261,1181571363,21633,303353971
,Iran,Informal,,,3220599,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,5916,19051508805,8281,26670774885
,Iran,Micro,,,927413,,,,,,,,,,,,,,,,,12694,11772179301,14825,13749364215
,Iran,Very Small,,,309138,,,,,,,,,,,,,,,,,16102,4977843694,16166,4997596067
,Iran,Small,,,17575,,,,,,,,,,,,,,,,,45746,804003602,15805,277784335
,Iran,Medium,,,1255,,,,,,,,,,,,,,,,,344550,432542150,12613,15834500
,Iraq,Informal,,,1310470,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,1128,1478233950,171,224056028
,Iraq,Micro,,,404492,,,,,,,,,,,,,,,,,2663,1077016048,128,51682777
,Iraq,Very Small,,,71381,,,,,,,,,,,,,,,,,3307,236041970,221,15771994
,Iraq,Small,,,75397,,,,,,,,,,,,,,,,,12971,977978070,716,53973586
,Iraq,Medium,,,38837,,,,,,,,,,,,,,,,,94036,3652048789,2733,106135017
,Ireland,Informal,,,84065,,,,,,,,,,,,,,,,,,,,
,Ireland,Micro,,,54122,,,,,,,,,,,,,,,,,,,,
,Ireland,Very Small,,,23195,,,,,,,,,,,,,,,,,,,,
,Ireland,Small,,,15034,,,,,,,,,,,,,,,,,,,,
,Ireland,Medium,,,2968,,,,,,,,,,,,,,,,,,,,
,Italy,Very Small,,,1106606,,,,,,,,,,,,,,,,,,,,
,Italy,Small,,,194037,,,,,,,,,,,,,,,,,,,,
,Italy,Medium,,,17959,,,,,,,,,,,,,,,,,,,,
,Jamaica,Informal,,,278778,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,5721,1594856403,3375,940950562
,Jamaica,Micro,,,164778,,,,,,,,,,,,,,,,,15675,2582834468,830,136692317
,Jamaica,Very Small,,,29078,,,,,,,,,,,,,,,,,16224,471760272,3925,114141930
,Jamaica,Small,,,5218,,,,,,,,,,,,,,,,,58998,307833736,5961,31102497
,Jamaica,Medium,,,926,,,,,,,,,,,,,,,,,393607,364353478,41138,38080162
,Japan,Informal,,,2434064,,,,,,,,,,,,,,,,,,,,
,Japan,Micro,,,2440929,,,,,,,,,,,,,,,,,,,,
,Japan,Very Small,,,1046113,,,,,,,,,,,,,,,,,,,,
,Japan,Small,,,1719492,,,,,,,,,,,,,,,,,,,,
,Japan,Medium,,,499482,,,,,,,,,,,,,,,,,,,,
,Jordan,Informal,,,262094,45%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2346,614997747,310,81120947
,Jordan,Micro,,,111015,,,,,,,,,,,,,,,,,6117,679072952,294,32586679
,Jordan,Very Small,,,19591,92%,7%,5%,12%,41%,83%,5%,7%,5%,30%,36.43,4%,100%,0%,0%,0%,1347,26383177,128,2511165
,Jordan,Small,,,13517,92%,33%,28%,44%,25%,44%,12%,25%,19%,23%,21.74,7%,96%,3%,0%,1%,9933,134267754,353,4775086
,Jordan,Medium,,,2320,95%,65%,43%,70%,26%,27%,3%,36%,34%,17%,24.28,7%,98%,0%,2%,0%,83411,193514428,1842,4273551
,Kazakhstan,Informal,,,469042,44%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,6563,3078364382,6610,3100563602
,Kazakhstan,Micro,,,198334,,,,,,,,,,,,,,,,,13551,2687723779,8277,1641650846
,Kazakhstan,Very Small,,,49584,88%,9%,18%,24%,26%,37%,39%,18%,6%,26%,,32%,100%,0%,0%,0%,22939,1137391093,4274,211936138
,Kazakhstan,Small,,,28905,93%,22%,33%,41%,28%,30%,29%,34%,7%,15%,,21%,94%,6%,0%,0%,75921,2194450847,9118,263565041
,Kazakhstan,Medium,,,4549,96%,48%,49%,64%,35%,22%,14%,49%,15%,18%,,11%,93%,6%,1%,1%,448502,2040434683,40910,186118304
,Kenya,Informal,,,1272425,42%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1165,1481810629,1070,1360983336
,Kenya,Micro,,,897462,,,,,,,,,,,,,,,,,3395,3046794557,1301,1167635575
,Kenya,Very Small,,,99718,84%,12%,22%,26%,56%,22%,51%,23%,3%,16%,,,,,,,4977,496301672,923,92076978
,Kenya,Small,,,26811,97%,31%,33%,47%,43%,20%,32%,38%,9%,14%,,,,,,,20024,536859850,773,20715668
,Kenya,Medium,,,7218,99%,75%,64%,87%,29%,6%,7%,64%,22%,12%,,,,,,,101962,736010384,2351,16970179
,Kuwait,Informal,,,128826,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,24012,3093331566,3639,468856492
,Kuwait,Micro,,,18505,,,,,,,,,,,,,,,,,56679,1048824819,2720,50329964
,Kuwait,Very Small,,,3266,,,,,,,,,,,,,,,,,70391,229863498,4703,15359157
,Kuwait,Small,,,7412,,,,,,,,,,,,,,,,,276112,2046503149,15238,112944367
,Kuwait,Medium,,,3818,,,,,,,,,,,,,,,,,2001711,7642225911,58173,222096644
,Kyrgyz Republic,Informal,,,155343,27%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,613,95244748,797,123851672
,Kyrgyz Republic,Micro,,,380,,,,,,,,,,,,,,,,,1040,394802,626,237781
,Kyrgyz Republic,Very Small,,,95,52%,15%,16%,25%,21%,27%,48%,18%,7%,19%,,39%,28%,19%,53%,0%,2641,250665,2050,194617
,Kyrgyz Republic,Small,,,9948,70%,32%,24%,46%,28%,24%,30%,32%,14%,24%,,26%,70%,19%,11%,0%,14603,145267949,7079,70422308
,Kyrgyz Republic,Medium,,,1566,87%,30%,20%,44%,24%,25%,31%,29%,15%,20%,,28%,94%,0%,0%,6%,28708,44948095,7072,11071999
,Laos,Informal,,,501521,38%,7%,9%,11%,,48%,41%,8%,3%,55%,,0%,0%,100%,0%,0%,1074,538678346,4627,2320554791
,Laos,Very Small,,,0,75%,2%,10%,12%,10%,68%,20%,9%,2%,13%,,0%,34%,52%,0%,14%,1825,548,5521,1656
,Laos,Small,,,20217,94%,6%,16%,20%,28%,49%,31%,18%,2%,23%,,0%,26%,61%,8%,5%,8521,172277431,3263,65967865
,Laos,Medium,,,578,99%,19%,28%,36%,22%,36%,28%,25%,10%,25%,,0%,44%,56%,0%,0%,33704,19467532,1592,919817
,Latvia,Informal,,,49006,48%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5918,289992677,5446,266883570
,Latvia,Micro,,,47662,,,,,,,,,,,,,,,,,5539,264021480,3555,169458425
,Latvia,Very Small,,,11916,97%,16%,44%,46%,24%,30%,23%,32%,14%,18%,,29%,65%,35%,0%,0%,22723,270757199,1658,19752459
,Latvia,Small,,,9680,99%,31%,59%,66%,32%,22%,12%,44%,22%,11%,,21%,82%,14%,2%,2%,73987,716197969,1510,14614984
,Latvia,Medium,,,1807,100%,26%,77%,79%,21%,16%,5%,47%,32%,11%,,16%,90%,7%,1%,1%,517026,934266499,0,0
,Lebanon,Informal,,,154781,40%,7%,9%,11%,,48%,41%,8%,3%,,84,0%,,,,,5208,806134531,755,116826368
,Lebanon,Micro,,,11687,83%,10%,38%,45%,48%,31%,24%,34%,10%,,45.89,11%,,,,,11611,135702950,434,5076351
,Lebanon,Very Small,,,2062,83%,44%,35%,68%,50%,20%,12%,58%,11%,,59.58,7%,,,,,18116,37363218,865,1783913
,Lebanon,Small,,,324,88%,59%,58%,80%,35%,13%,7%,62%,18%,,49.2,2%,,,,,69948,22687252,2556,829133
,Lebanon,Medium,,,28,87%,59%,60%,78%,28%,17%,5%,57%,22%,,57.83,2%,,,,,475321,13405962,19948,562614
,Lesotho,Informal,,,67445,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,436,29398213,192,12931792
,Lesotho,Micro,,,18686,,,,,,,,,,,,,,,,,1318,24636703,228,4263888
,Lesotho,Very Small,,,2076,81%,32%,19%,35%,41%,25%,39%,24%,11%,,,22%,,,,,2001,4154740,172,356755
,Lesotho,Small,,,6137,92%,44%,35%,54%,19%,31%,15%,34%,20%,,,30%,,,,,22583,138600211,1208,7414457
,Lesotho,Medium,,,1677,100%,52%,43%,62%,14%,33%,5%,24%,38%,,,25%,,,,,99044,166082450,2868,4809872
,Liberia,Informal,,,121401,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,991,120344250,436,52937462
,Liberia,Micro,,,33635,,,,,,,,,,,,,,,,,2715,91319924,470,15804792
,Liberia,Very Small,,,3737,58%,3%,22%,22%,33%,30%,48%,22%,0%,,4.61,7%,,,,,4981,18615394,428,1598448
,Liberia,Small,,,11047,71%,15%,8%,17%,49%,34%,49%,10%,7%,,3.33,0%,,,,,16129,178176866,863,9531621
,Liberia,Medium,,,3018,,,,,,,,,,,,,,,,,63529,191750678,1840,5553243
,Libyan Arab Jamahiriya,Informal,,,275421,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,6080,1674488306,922,253802315
,Libyan Arab Jamahiriya,Micro,,,85012,,,,,,,,,,,,,,,,,14351,1220003625,689,58544323
,Libyan Arab Jamahiriya,Very Small,,,15002,,,,,,,,,,,,,,,,,17823,267379543,1191,17865927
,Libyan Arab Jamahiriya,Small,,,15846,,,,,,,,,,,,,,,,,69911,1107817095,3858,61139266
,Libyan Arab Jamahiriya,Medium,,,8162,,,,,,,,,,,,,,,,,506831,4136904709,14729,120225791
,Lithuania,Informal,,,72443,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8140,589708048,7659,554826087
,Lithuania,Micro,,,98551,,,,,,,,,,,,,,,,,8848,871950903,5713,563014083
,Maldives,Micro,,,1192,,,,,,,,,,,,,,,,,11400,13589927,13315,15872410
,Lithuania,Very Small,,,24638,95%,10%,33%,33%,25%,45%,21%,26%,7%,9%,,13%,86%,14%,0%,0%,28203,694871220,3166,78014377
,Lithuania,Small,,,12606,98%,16%,56%,59%,24%,27%,14%,37%,22%,10%,,13%,96%,4%,0%,0%,67113,846025423,3268,41202579
,Lithuania,Medium,,,2678,99%,29%,79%,81%,31%,14%,5%,59%,22%,11%,,4%,89%,11%,0%,0%,413986,1108653339,11060,29618535
,Luxembourg,Informal,,,9553,,,,,,,,,,,,,,,,,,,,
,Luxembourg,Micro,,,14832,,,,,,,,,,,,,,,,,,,,
,Luxembourg,Very Small,,,6356,,,,,,,,,,,,,,,,,,,,
,Luxembourg,Small,,,2595,,,,,,,,,,,,,,,,,,,,
,Luxembourg,Medium,,,524,,,,,,,,,,,,,,,,,,,,
,Macedonia (the former Yugoslav Republic of),Informal,,,42614,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3206,136627094,3059,130355960
,Macedonia (the former Yugoslav Republic of),Micro,,,32712,96%,12%,28%,40%,25%,23%,37%,24%,16%,24%,,16%,71%,29%,0%,0%,6298,206010832,428,13990538
,Macedonia (the former Yugoslav Republic of),Very Small,,,8178,89%,19%,51%,58%,45%,27%,15%,54%,4%,19%,,28%,92%,3%,5%,0%,12845,105046344,2501,20456620
,Macedonia (the former Yugoslav Republic of),Small,,,3792,98%,30%,61%,72%,21%,17%,11%,49%,23%,14%,,23%,93%,6%,0%,1%,81802,310194373,4336,16441535
,Macedonia (the former Yugoslav Republic of),Medium,,,376,97%,30%,68%,73%,13%,17%,10%,52%,21%,12%,,10%,94%,3%,1%,2%,163104,61327226,11750,4417965
,Madagascar,Informal,,,627241,6%,6%,6%,6%,45%,27%,67%,5%,2%,,,,,,,,1667,1045742706,731,458688479
,Madagascar,Micro,,,173782,,,,,,,,,,,,,,,,,2984,518604721,516,89755219
,Madagascar,Very Small,,,19309,94%,17%,8%,23%,35%,34%,43%,17%,6%,17%,19.29,30%,86%,0%,14%,0%,5522,106629279,474,9155935
,Madagascar,Small,,,57077,93%,33%,23%,40%,41%,28%,33%,29%,10%,21%,20.45,13%,88%,0%,12%,0%,18568,1059829614,993,56695880
,Madagascar,Medium,,,15595,96%,52%,29%,58%,38%,21%,22%,40%,17%,9%,22.46,12%,100%,0%,0%,0%,43005,670648767,1245,19422489
,Malawi,Informal,,,755337,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,222,167368686,97,73622740
,Malawi,Micro,,,491308,,,,,,,,,,,,,,,,,447,219527221,77,37993703
,Malawi,Very Small,,,54590,,,,,,,,,,,,,,,,,1356,74042257,116,6357785
